_id,month,date,journal_ifactor,publication_type,oa_type,fund_count,fund_class,author_count,instituion_count,cooperate_way,avg_author_cited,author_cited,literature_length,Language,Cited Reference Count,"Times Cited, All Databases",DOI,country,new_oa_type
65facaf9ef3ccaced9d70790,11,2018-11-01,2.2,J,Green Published,2,2,3,1,2,671,2013,19,English,43,10,10.1016/j.jebo.2018.08.011,中国,green
65facaf9ef3ccaced9d70791,10,2018-10-01,1.9,J,Green Submitted,1,2,3,1,2,5,15,25,English,49,8,10.1016/j.jedc.2018.08.001,中国,green
65facafaef3ccaced9d70792,8,2018-8-01,1.5,J,Green Submitted,1,2,2,1,2,265,530,25,English,24,6,10.1111/1468-0106.12173,中国,green
65facafaef3ccaced9d70793,,,8.1,J,"Green Published, Bronze",1,1,3,1,2,978,2934,22,English,23,23,10.1111/cwe.12246,中国,bronze
65facafaef3ccaced9d70794,6,2018-6-01,6.8,J,hybrid,5,1,2,1,2,188,376,11,English,35,26,10.1016/j.chieco.2018.01.005,中国,hybrid
65facafbef3ccaced9d70795,3,2018-3-01,1.1,J,"Green Submitted, Green Published",3,2,3,1,2,141.66666666666666,425,23,English,32,14,10.1016/j.geb.2017.10.005,中国,green
65facafbef3ccaced9d70796,2,2018-2-01,3.4,J,Green Accepted,1,2,2,1,2,81.5,163,6,English,20,1,10.1016/j.qref.2017.02.003,中国,green
65facafbef3ccaced9d70797,,,,,,1,2,3,1,2,796.6666666666666,2390,19,English,57,12,10.3846/tede.2018.4545,中国,gold
65facafbef3ccaced9d70798,12,2018-12-01,2.3,J,Green Accepted,1,2,2,1,2,7.5,15,20,English,30,13,10.1007/s10683-017-9553-0,中国,green
65facafcef3ccaced9d70799,10,2018-10-01,0.7,J,gold,1,1,5,1,2,0.8,4,17,English,26,4,10.18267/j.pep.676,中国,gold
65facafcef3ccaced9d7079a,6,2018-6-01,1.8,J,Green Accepted,4,1,3,1,2,74.33333333333333,223,28,English,30,3,10.1142/S0217590816500260,中国,green
65facafdef3ccaced9d7079b,4,2018-4-01,6.8,J,hybrid,2,2,3,1,2,22.333333333333332,67,11,English,40,31,10.1016/j.chieco.2016.06.006,中国,hybrid
65facafdef3ccaced9d7079c,3,2018-3-01,1.5,J,Green Submitted,1,2,2,1,2,305.5,611,22,English,31,7,10.1016/j.ijindorg.2017.08.001,中国,green
65facafdef3ccaced9d7079d,2,2018-2-01,6.8,J,Green Accepted,1,2,2,1,2,8.5,17,14,English,33,13,10.1016/j.chieco.2017.11.003,中国,green
65facafeef3ccaced9d7079e,2,2018-2-01,2,J,Green Accepted,2,2,2,1,2,30,60,2,English,4,1,10.1016/j.econlet.2017.11.018,中国,green
65facafeef3ccaced9d7079f,12,2018-12-01,2.4,J,Green Submitted,1,2,3,1,2,24.333333333333332,73,18,English,30,0,10.1007/s10888-018-9389-7,中国,green
65facafeef3ccaced9d707a0,,,,J,"Green Submitted, gold",1,1,2,1,2,78,156,,English,41,0,10.5018/economics-ejournal.ja.2018-62,中国,gold
65facaffef3ccaced9d707a1,10,2018-10-01,12.8,J,"Green Submitted, Green Published",2,1,4,1,2,329.5,1318,8,English,61,46,10.1016/j.eneco.2018.11.001,中国,green
65facaffef3ccaced9d707a2,9,2018-9-01,3.3,J,Green Accepted,2,1,2,1,2,13.5,27,21,English,113,27,10.1007/s13132-016-0375-7,中国,green
65facaffef3ccaced9d707a3,6,2018-6-01,2.2,J,Green Submitted,1,2,5,1,2,2.2,11,8,English,30,11,10.1016/j.jebo.2018.03.014,中国,green
65facb00ef3ccaced9d707a4,5,2018-5-01,2,J,Green Submitted,4,1,4,1,2,4.25,17,19,English,64,9,10.1093/cje/bex065,中国,green
65facb00ef3ccaced9d707a5,4,2018-4-01,5.8,J,Green Accepted,5,2,4,1,2,20.75,83,34,English,52,27,10.1093/restud/rdx028,中国,green
65facb01ef3ccaced9d707a6,4,2018-4-01,2,J,Green Submitted,2,2,3,1,2,403.3333333333333,1210,30,English,73,15,10.1016/j.red.2017.08.005,中国,green
65facb01ef3ccaced9d707a7,2,2018-2-01,6.2,J,Green Submitted,1,2,2,1,2,305.5,611,25,English,26,14,10.1111/ecoj.12412,中国,green
65facb01ef3ccaced9d707a8,2,2018-2-01,1.6,J,Green Submitted,1,2,2,1,2,100,200,7,English,21,2,10.1016/j.socec.2017.10.004,中国,green
65facb02ef3ccaced9d707a9,1,2018-1-01,4.7,J,Green Submitted,1,2,3,1,2,23,69,9,English,45,59,10.1016/j.econmod.2017.05.007,中国,green
